YearsExperience,Salary,Prediction
1.1,39343,35907.21200822478
1.3,46205,37853.452775873855
1.5,37731,39799.69354352293
2.0,43525,44665.29546264562
2.2,39891,46611.5362302947
2.9,56642,53423.37891706647
3.0,60150,54396.499300891
3.2,54445,56342.74006854008
3.2,64445,56342.74006854008
3.7,57189,61208.341987662774
3.9,63218,63154.58275531184
4.0,55794,64127.703139136385
4.0,56957,64127.703139136385
4.1,57081,65100.82352296092
4.5,61111,68993.30505825908
4.9,67938,72885.78659355723
5.1,66029,74832.0273612063
5.3,83088,76778.26812885539
5.9,81363,82616.99043180261
6.0,93940,83590.11081562715
6.8,91738,91375.07388622346
7.1,98273,94294.43503769705
7.9,101302,102079.39810829339
8.2,113812,104998.75925976699
8.7,109431,109864.36117888967
9.0,105582,112783.72233036329
9.5,116969,117649.32424948597
9.6,112635,118622.44463331052
10.3,122391,125434.28732008228
10.5,121872,127380.52808773136
